CID,用户名,评论时间,评论地点,评论内容,评论点赞数,评论数量
7442168885925495612,謙子,2024-11-28 11:36:16,安徽,所以每一个王朝的覆灭都不值得同情。,70,3
7465974329182307082,🍁叶古城吹雪❄️,2025-01-31 15:15:20,北京,有的系统是生来退化的，只有崩溃了才会重建并略略更新。[流泪],4,0
7443257833729114914,好吧,2024-12-01 10:02:02,江苏,一人之国跟，众人之的问题。晏子效命得是君王，不是百姓。,3,1
7443330717260104505,晴空万里99,2024-12-01 14:44:47,浙江,所以，仁政离不开，圣王的十六字箴言：人心惟危 道心惟微 惟精惟一 允执厥中[灵机一动]……,109,8
7442843745173095231,石鼓,2024-11-30 07:15:08,河南,失业断供离婚送外卖的我在这里寻求到真相,19,1
7446352443316683561,干脆面。,2024-12-09 18:10:35,湖北,少数人的参与是无法支撑起仁政的，如果百姓自己不主动，总指望清官和明君，则天下永远无法长治久安。,8,1
7465139424578798345,添泉,2025-01-29 09:15:40,江西,都说做慈善也要照顾受善人心理。这里所说的仁政和慈善一样。被施舍而已，并没有带来权利公平。,5,0
7442687936472302355,索罗萝卜,2024-11-29 21:10:25,北京,坏人都是精力旺盛争强好胜的，就这点而言，坏人已经赢了一半,13,1
7441793753003655988,矛盾江湖,2024-11-27 11:20:34,湖南,大鱼能听到虾米的声音，除非他本出身虾米,6,2
7465548360566719244,小小悠,2025-01-30 13:06:53,广东,仁政虽败，但晏子的智慧与坚持仍值得我们深思与学习。,1,0
7441511481927238460,半熟的柿子,2024-11-26 17:05:13,山东,任何事物都是有序向无序，除非有新的能量注入，一个机械设备再精密也会磨损，需要修缮，但是没有人能完美修复，日积月累最终崩溃,14,0
7441847589827707663,咳咳咳里,2024-11-27 14:49:30,广西,然而历史记录下了晏子，晏子为齐国相，说明晏子的仁政最终还是胜利了[发怒],10,0
7441504205871563571,梦的衣裳,2024-11-26 16:37:00,陕西,仁政不但有内部条件，还要有外部条件。在那个分封制的时代，诸侯、卿、士以及他们的家族，生生不息一直繁衍，士大夫以上的家族里只要生下来活到成人就要给一块封土。而作为分封制度下总体诸侯国的疆域已经限制固定，而内部不断的分封，哪里来那么多的土地？只能是礼崩乐坏，强制吞并其他国家的土地，来满足继续的分封。所以才有了春秋战国的不断兼并，最后剩了七个大国。想仁政，国内士族没办法满足，外敌还在时刻觊觎你的土地国家，想占为己有。,11,2
7444028692210418482,投降输一半,2024-12-03 11:53:15,北京,青苗法算不上仁政吧,3,0
7441568902251348790,戴维斯双击,2024-11-26 20:48:01,上海,关键是权力不来源于普通人,22,0
7447512609823949587,曾侯乙,2024-12-12 21:12:38,湖北,酒店猛狗,7,0
7442184011939595035,猫呢？,2024-11-28 12:34:57,浙江,权利和人性是最大的问题,4,1
7441517062655001371,花生酱_,2024-11-26 17:58:10,贵州,治理东阿，为什么不生产东阿阿胶,5,1
7467449666793440015,新与旧,2025-02-04 14:38:41,内蒙古,因为固态的欲大过了良,2,0
7443182684283814690,爷爷与美少女们,2024-12-01 05:10:47,浙江,这是权术的胜利并不是仁政的失败,8,0
7465276604185740091,fast_is_slow,2025-01-29 18:05:59,安徽,王权，只能从上到下。民权，则从下到上。,1,0
7443816756969816866,徐修彬大帝,2024-12-02 22:10:51,山东,青苗法不是仁政，看看大明王朝里的改稻为桑就知道了,9,0
7443987756214256384,D.,2024-12-03 09:14:27,福建,不是中国古代的通病而已，这是人类这个种族的通病。,8,0
7441807076551115556,无染无著,2024-11-27 12:12:18,河南,人证是从上而下的，不是从下而上的。顺序搞错了，所以都成功不了,4,1
7443098035712443194,兴哥,2024-11-30 23:41:52,浙江,仁政动了权力的蛋糕,18,0
7444838574832845627,道一,2024-12-05 16:16:03,四川,能够活下来的，都是坏人。西方海盗到处殖民掠夺奴役人，但他们活下来的，而原住民消失了。,12,0
7441562478540833547,低价奥特曼,2024-11-26 20:23:05,天津,当领导一定要始终如一 要硬就一直硬 要宽就一直宽,4,3
7447316514250015529,阿库拉玛塔塔,2024-12-12 08:31:45,上海,人类最伟大的发明不是科技，而是对权力的制约,10,0
7441483937250132795,忘了乐,2024-11-26 15:18:22,山西,任何时候统治都是靠杀，内卷无非是把刀子🔪给别人，让别人杀[暗中观察],6,1
7444787760688956170,菁菁蒜苗,2024-12-05 12:58:51,新加坡,仁，是主持分配，不是你想象的仁义。其本身是个很客观的事情，学会了资源的分配才会天下平稳。分的太平均了，人会相互争抢，甚至把你君主的位置会被抢，因为凭啥让你分配。分的太不平均了，也有一伙人要干掉你，因为你不让他们活,6,1
7441537178402620201,唐横刀,2024-11-26 18:44:56,江苏,没有绝对的暴力是不配谈仁政的，可拥有绝对的暴力就不会谈仁政，而是霸道。秦统一六国，就算秦始皇想谈仁政，他的内部也绝不会让他谈仁政。汉武帝在死了一个太子之后，才开始了仁政。资本家会跟你谈仁政吗？只有公权和主权凌驾于国家之上，世界之上时才是一个国家强盛的时刻。在拥有干死其他国家的情况下，带给他利益，这就是仁政的基础。可美国谈仁政′了吗？,8,0
7441504813894878009,社会主义新青年,2024-11-26 16:39:22,广东,人性是一个变量，需要政治居中调节，而政治的唯一服务标准只能是基层民生，否则天下大乱,8,0
7446355526529008421,1298,2024-12-09 18:22:33,新疆,仁政要看对谁仁？,4,0
7446957673705259828,天命人9527,2024-12-11 09:22:37,福建,没说怎么破解啊,0,1
7465154968821334834,独读你的故事,2025-01-29 10:14:02,河北,"仁，有大仁，有小仁，有慷慨之仁，有妇人之仁……
仁政，也有大仁政，也有小仁政，更有嘴巴上的仁政，自以为是的仁政。
其实真正的仁政从来都只有一种，就是认识到人民真正需要的，即真正解决满足发展中的人民需求问题的仁政，这个标准以外的仁都注定会成为是假仁。",4,1
7442308880341746443,用户13709394,2024-11-28 20:39:29,广东,又来道德经，实际上什么治理方案不是重点，重点是市场状态如何,4,0
7441881130679583497,大眼ꦿ邓᭄小眼,2024-11-27 16:59:41,河南,大漂亮关于媒体制度的还是有用的,7,0
7441492309210727227,抖音号,2024-11-26 15:50:50,江苏,因为手指头再多，也也一盘散沙，也永远不可能撞得过握紧地拳头。,15,0
7467979683708781366,大漆拙夫人,2025-02-06 03:53:30,江苏,有志者，事竟成,0,0
7442938049963017018,敬畏生命，敬畏自然。,2024-11-30 13:21:01,河南,我咋记得是西门豹与魏文侯的故事？！,8,0
7441774843135050506,遇龍古风,2024-11-27 10:40:03,广西,"假若换个角色呢,比如齐景公就是晏子？",0,1
7443344525554828073,用户1136895246779,2024-12-01 15:38:23,吉林,世间的善恶并非总是沿着公正的轨道前行，善政的推行，往往并非取决于其本身的高尚纯粹，而是深陷于利益的纠葛与权力的博弈。当少数人的私欲能够左右大众的福祉，当信息的传导如同被重重迷雾笼罩，正义的脚步便会变得沉重而踉跄。,4,0
7468239982412825344,鸟瞰世界 同频共振,2025-02-06 18:11:17,内蒙古,[赞]  [赞]  [赞],0,0
7446341151886770953,石间的时间,2024-12-09 17:28:38,云南,商鞅变法是中国历史上第一次做到民富国强的变法[赞],0,1
7451127292497150731,田洪军,2024-12-22 14:59:28,山东,小仁政，给人以鱼。大仁政，给人以渔。,6,0
7452534390092415801,柏一,2024-12-26 09:59:47,上海,这个不是历史，我曾经在一家餐馆工作，他们认为老老实实上班的人都是刺头所以让我连夜搬走，而那些当着我的面把菜踩到脚下在打包送给上海人吃的胖子当晚却被他们的经理喊去喝酒。然后他们的经理在我面上来一句为啥这么多差评。,1,0
7441923078298993434,dy9b5rrv9hfz,2024-11-27 19:42:24,北京,英国仁政为什么就赢了,23,9
7452133631273026340,当代不良人,2024-12-25 08:04:36,青海,仁政重在叙述世界观与教化传说，唯独缺了方法论，如果文化突兀被打断层了，就会迷失，因而这是个静止的社会。,5,0
7442932770969502516,金鱼儿,2024-11-30 13:00:31,上海,其实，这是一个平衡问题，或者说是阴阳调和问题，只是皆大欢喜的那个点太窄了，不容易调和。,5,1
7441546738781897530,美有三层,2024-11-26 19:22:01,陕西,封建影响何时能清,6,1
7451826654030283579,长孙鹤,2024-12-24 12:13:19,河南,东阿令程昱[看],0,1
7442918973311796003,宇轩,2024-11-30 12:07:00,山东,人有贪欲，要么为了名，要么为了利。只求奉献的人是可遇不可求的,3,0
7442612809362441017,莱哥,2024-11-29 16:18:57,山东,天底下没有新鲜事，人性的弱点才是推动社会进步的唯一核心[感谢],3,0
7444040169013248780,哦哦哦了呢,2024-12-03 12:37:48,北京,仁政指的是好人得好处，坏人得坏处！但是怎么界定好坏是大问题[捂脸],7,0
7443986221233603386,千山暮雪,2024-12-03 09:08:28,内蒙古,因为你们根本不懂什么是仁政[呆无辜][呆无辜][呆无辜],3,0
7466998231256613673,草木有本心,2025-02-03 09:28:27,河北,有点借故偏以概全！,1,0
7441810808394613556,更有甚者,2024-11-27 12:26:44,云南,做官当学曾国藩,2,0
7443615755591926564,目标星辰大海,2024-12-02 09:10:55,黑龙江,仁政让少部分权利集团更猖狂了呗[看],4,0
7441544888116151092,无尽夏,2024-11-26 19:14:50,陕西,依法治国是最大的仁政,6,0
7445040357170512674,小天地,2024-12-06 05:19:34,福建,话语权不在百姓手中,15,0
7441614039321461514,绕梁三日,2024-11-26 23:43:14,天津,腐儒所谓的仁政就是祸国殃民所谓的安居乐业都是腐儒杜撰出来的实际是民不聊生,6,0
7443360768017335074,火车来了,2024-12-01 16:41:22,四川,仁政，是生产关系，要发展生产力，生产力才是主要因素,8,0
7443550221214565171,steven_xujun,2024-12-02 04:56:52,上海,仁政，如果财政破产，这能叫仁政？庞氏骗局吧，,4,0
7446789475956654888,冰雪聪明,2024-12-10 22:27:52,河北,现在好多了网络发达信息比较通畅,0,1
7443817991730627365,老板娘严选酒店用品(拖鞋牙刷),2024-12-02 22:15:37,江苏,舆论和媒体 总是自导自演，真正在网络上说话的好人很少 沉默的才是大多数,6,0
7467670880341082940,龙少爷。,2025-02-05 04:57:12,广东,[赞][赞][赞][赞][赞][赞][赞],0,0
7445490024503591739,来我也,2024-12-07 10:23:57,浙江,不是仁政问题，是权力来自哪里的问题,10,1
7441531931156775689,搏稀,2024-11-26 18:24:35,河北,恶吏 豪强 永远解决不了,7,1
7441515398053577530,大耳朵屠屠,2024-11-26 17:20:27,广东,"因为仁政的前提便是假定""人性本善""，而忽视了人性之恶，当这个前提都是不存在的时候，礼崩乐坏也就必然到来",9,3
7441582481125507892,荣耀88,2024-11-26 21:40:42,山东,基础有问题,6,1
7441753386191962939,拎壶冲,2024-11-27 08:43:58,福建,看完感觉晏子之类，也只是把百姓当做实验材料来证明自己的理论[捂脸],5,0
7442739120277914406,寻寻觅觅的吃货,2024-11-30 02:03:57,广西,利字才是真正的政治，民众得温饱，官吏得利益，君王得疆域。,4,0
7441577139512050491,为娱不为鱼,2024-11-26 21:19:58,山东,有谁知道皇帝其实也被朝臣架空了！,7,0
7441725853337830171,小米,2024-11-27 06:57:09,广东,这是哪篇文章？读一下原文一定会很有意思,2,0
7441505528289362723,浩,2024-11-26 16:42:08,辽宁,马晓磊[比心],2,0
7442649587325879067,八卦三,2024-11-29 18:41:37,黑龙江,既然信息渠道左右真香，还不如做一个舒舒服服的自己,1,1
7441571608688722746,3GDoll,2024-11-26 20:58:30,山东,"因为仁政反人性
是减熵过程[笑哭]",10,0
7441585612707070774,墙的那边,2024-11-26 21:52:52,广东,今年的诺贝尔经济奖应该颁给晏子,4,0
7461429105377100584,聪明的大冶,2025-01-19 09:17:04,北京,丛林法则不可更改。,0,0
7441629251746464551,工农万岁,2024-11-27 00:42:18,广东,仁政都后果是富者更富，贵族更肆无忌惮,3,0
7450369198977598268,往,2024-12-20 13:57:42,江西,被架空的上层,3,0
7442293224704426792,淡,2024-11-28 19:38:46,江苏,熵增定律才是宇宙的终极定律,19,3
7441573584345285415,风吹雨,2024-11-26 21:06:12,浙江,仁政是统治阶级对被统治阶阶级的，但不仁也没关系,2,0
7444393385400402745,自卸斗,2024-12-04 11:28:28,浙江,哪里仁政了？,1,1
7442129191186989876,文森,2024-11-28 09:02:16,江苏,系统是失败的。系统中的app如何能成功？,9,0
7462137894925796131,🐏,2025-01-21 07:06:17,安徽,到底是为了谁的利益的问题,0,0
7442866411926766372,董潇赫,2024-11-30 08:43:07,北京,人性永远是自私的，理解了这一点就明白，终级的解决方案必然是没有人管理人，ai掌握一切分配。,8,3
7441749592985862922,_,2024-11-27 08:29:15,河北,仁政本质取有余而补不足，是反人性的。只要人有私心，那仁政就不会真的实施下去。仁政只会短时间内存在，当既得利益者吃完蛋糕后，那表面的仁政就维持不下去了。,11,0
7443616067241820986,Sunsky,2024-12-02 09:12:09,浙江,古代的改革从来不是为民着想，都是对权力负责，而不是制约权力,11,0
7442527073553974068,SYMC,2024-11-29 10:46:17,辽宁,人性本恶，故单纯的仁政不得施行，必须一手仁，一手狠！,11,0
7449605305459606298,小白龙,2024-12-18 12:33:22,北京,这就像黑和白，其实中间还有灰色。我们大多数人终其一生的追求其实基本都是要走好灰色地带。,5,0
7441484673601438476,🇨🇳和光同尘,2024-11-26 15:21:12,江苏,破坏容易建设难，普通底层认知低。,5,0
7441589193966666496,浪客＆剑心～,2024-11-26 22:06:46,广东,因为晏子不是君王，君王不是晏子！[捂脸],1,0
7443744227647980340,左手指月（闭麦看直播）,2024-12-02 17:29:27,湖南,你这是基于君主论的谬论，帝王也是人，是人就有喜好，有喜好就有偏袒，有偏袒就有博弈，有博弈就有讨好，有讨好就有佞臣,3,0
7459210319333770025,忽地笑,2025-01-13 10:50:06,河南,因为是丛林世界。,3,0
7441617010565972793,麻五几,2024-11-26 23:54:46,上海,好复杂的逻辑，想不通，想通了也没用,4,2
7444794169308971833,铁牛哥,2024-12-05 13:23:44,山西,好的东西需要被证明，而不好的东西才是永恒！毁灭是永恒的，是简单的，创造是艰难的，维持良好的社会秩序是艰难的。仁政没有输，如果仁政输了就不会有今天。,2,0
7442144769197687612,历史的车轮过来咯过来咯,2024-11-28 10:02:43,广东,自古以来全都是仁政[白眼],0,0
7443998204570501900,风起云涌,2024-12-03 09:55:01,新疆,仁政针对豪强，苟政利于豪强，而豪强有权、有钱！,2,0
7441908277951005497,🌈超人,2024-11-27 18:44:58,湖南,不让民发声。,5,0
7441823632777757474,律动68,2024-11-27 13:16:35,湖北,仁政不可能输，得不到切实落实的仁政才会输。,3,0
7442149491811812122,观山海,2024-11-28 10:21:03,上海,保持可控范围内持续的阶级斗争，才是真正的仁政，所有事物都在循环往复中进化。,1,0
7443935691950015286,伟大的乌克必胜,2024-12-03 05:52:33,广东,古代很多读书人不愿意入朝为官，宁愿做隐士，终老干山林,0,0
7443614231872619274,风,2024-12-02 09:05:00,山西,权利总是为自己服务，哪管他人死活。,7,0
7444771813606245178,流水无声,2024-12-05 11:57:00,海南,富要有上线，贫穷更要有底线，社会财富要平衡。,2,0
7469771738692649743,洋洋老师(讲执业药师考试解题技巧),2025-02-10 21:12:41,天津,马斯克一定要加强安保啊,0,0
7441540114411963173,雷鸣书店,2024-11-26 18:56:20,云南,输的不是“仁政”，而是以“仁政”为名的愚弄和压榨，是人们无法忍受长期的精神和肉体的压迫,3,0
7441950079420433190,AI神探,2024-11-27 21:27:11,浙江,如果没有法治为你背书，不要站在弱者一边，不要站在正义一边,6,0
7443207164879864635,大海的鱼,2024-12-01 06:45:27,江苏,要实现仁政，就要给百姓有发言权。,1,0
7444276303546958630,本悟,2024-12-04 08:34:45,湖南,如果我是晏子，我会说：景公，眼见为实呀，您得亲自到东阿走一遭，看看那里的百姓有多拥护你,0,0
7447589793959183115,H俊威,2024-12-13 02:12:23,广东,这就是富人为什么不愿意穷人过得好起来的原因。时间也未能改变它。,0,0
7446670628877042483,用户6318357410018,2024-12-10 14:48:24,山东,最主要的是私心这东西，官法不能大于律法，其次就是能做到民看官要平视,1,1
7460805142490022710,中庸,2025-01-17 16:54:27,山东,仁还有一层意思就是合理的杀,0,0
7459049891899163403,蓝天白云ltby,2025-01-13 00:09:08,陕西,叙利亚前总统就是实施了仁政，结果被老百姓很快抛弃和推翻，人心是不足的,5,1
7452945581846397732,大王,2024-12-27 12:35:21,安徽,信息论有个盲点，即使亲眼所见，亲耳所听，也未必是真相！,11,2
7460125037426459450,The most,2025-01-15 20:55:17,江苏,规则才是真仁,3,0
7443678215690519296,李李还是你,2024-12-02 13:13:18,北京,人性本质是趋利避害，无所谓善恶,6,0
7441885542282199865,一往无前,2024-11-27 17:16:47,山东,那胖东来怎么做大的？,4,2
7468090388952515328,xf,2025-02-06 08:35:58,辽宁,说白了就是，你是什么人不重要，做什么事不重要，如果上级认为你行你就行，,0,0
7443609058874000143,畅不完的歌,2024-12-02 08:44:59,广东,晏子，海瑞，却没能转世！,0,0
7441819782993330983,寂灭之炎,2024-11-27 13:01:35,云南,"容易失去肉心的是鸡猪,对民苦无感时已经是死人,一群死人是没有后代的",3,0
7441537350343902010,还是可看出,2024-11-26 18:45:35,北京,因为仁政是仁到统治阶级上面的,2,0
7442707413171651367,行者无疆,2024-11-29 22:26:00,江苏,权利对来源负责[捂脸][感谢],4,0
7466624903615595275,海柳,2025-02-02 09:20:58,江苏,上德如风,0,0
7442889648999908147,肥仔爱掉毛,2024-11-30 10:13:16,广东,令出于上，自然就只有媚上才有出路[捂脸],6,0
7441525647627027226,亮,2024-11-26 18:00:10,四川,仁政和人性相悖，逆流而上必须有强力压制,1,0
7441548359339737896,燎山锋,2024-11-26 20:18:31,江苏,这块我只服一句话，要治国，先治官，因为你不能一个人管理整个国家，要用人帮你，但你又不能总是垂直过问，总之就是跟公司的形式差不多,5,0
7450146199971152698,沐泽葱葱,2024-12-19 23:32:19,河南,天下是天下人的天下，这不只是一个真理，更是一种愿景,5,0
7457376196709221135,武   道,2025-01-08 11:08:30,河南,慈不掌兵义不掌财， 真正的大公平  要学习天道  弱肉强食 优胜劣汰  天道无亲 大仁不仁。,5,0
7441954412627116827,呵呵哒,2024-11-27 21:44:00,广东,仁政是说给别人的，儒家那套,2,0
7444773369138791219,§绊绅致远§,2024-12-05 12:03:01,黑龙江,说白了就是人性！百姓是人 君王也是人 晏婴同样是人！不过是个循环而已,5,0
7441591613187605263,华仔仔,2024-11-26 22:16:11,北京,仁者到不了基层百姓手里,4,0
7441779247351366459,山贼,2024-11-27 10:24:16,广东,仁政掩盖不了阶级。,12,2
7463598888138687286,229,2025-01-25 05:35:48,广东,权力的反馈体系与受惠群体，，错位了。,0,0
7441634881883767589,𝓓𝓮𝓶𝓸,2024-11-27 01:04:18,安徽,利出一孔这条暗线贯穿中国历代王朝,4,0
7442114359775986443,卧梅吻花,2024-11-28 08:04:44,四川,苦中苦百姓嘛[捂脸],3,0
7441772711879279420,这位先生,2024-11-27 09:58:55,山东,话语权的重要性，谁发言是多么重要,5,0
7442179546075857724,成真,2024-11-28 12:17:38,北京,媒体，没有代表民意的媒体。加上去，就可以解决晏子的后顾之忧了,0,0
7441550434080752435,用户6739228719669,2024-11-26 19:36:20,浙江,所以一个国家能建设治理得好是很不容易的，但让更多人受益国家发展已经初步实现未来坚定信心仍然可期,1,0
7467396197973508901,两按易捅,2025-02-04 11:11:10,江苏,阿胶[击掌],0,0
7454448907083383579,周大叔Python,2024-12-31 13:49:03,广东,你们这些都是有学识之人[抱拳][抱拳][抱拳]我小学还没毕业理解不了。,0,0
7443623793719886652,自  由,2024-12-02 09:42:06,浙江,我看过一个电影叫机械纪元还是机器纪元来着，开头有一幕一群人围着一个类似智者的机器人，非常虔诚的样子，然后机器人被狙了。当时我在想为啥要对一个自己制造的机器顶礼膜拜，现在一想，只有ai到了自主的地步才能保证公平，也不会有啥自由裁量权。但是ai到了这种程度会不会也有自私自利的心？唉，无解[暗中观察],0,0
7464401464384734003,田园,2025-01-27 09:30:07,山东,很简单赏罚不明，百姓更应该被惩罚，你给我100我为你去死，利益捆绑，这100分给100个百姓，他们不会为你拼命,1,0
7463309126706414399,广龙,2025-01-24 10:51:14,广西,沉默的大多数，恶人先告状,2,0
7443612160263439131,有苦有甜,2024-12-02 08:56:57,山东,来四个邪神就解决问题了,2,0
7449935899579024186,阿飞讲志愿军故事,2024-12-19 09:56:18,安徽,博主，向您提个意见，您的内容很好，但是背景音乐有点大了，有时候会干扰内容,1,0
7441539556149740307,BH3QJC,2024-11-26 19:25:26,河北,社会是一个复杂体。豺狼虎豹俱全。以虎制局可能会稳定一点。以羊制局会大乱。,25,5
7441526559154750234,猫科类,2024-11-26 18:03:44,重庆,马戏团里用皮鞭就能让老虎钻火圈。野生动物园动物们都自由自在的，没有一个会钻火圈的，真失败！[泪奔][泪奔][泪奔][泪奔][泪奔][泪奔][泪奔],3,0
7451062080806273830,历史日记本,2024-12-22 10:46:26,北京,如果规律不可打破，那就看组成阶层的人群在一定时间是否是变化流动的,2,0
7443288613058904869,天外有天,2024-12-01 12:01:25,浙江,这个民族丢掉了造物主女娲信仰,2,0
7441525018134250291,用户4830085298596,2024-11-26 17:57:46,湖南,这个故事充分说明《体治》终点，与服务对像关系。,2,0
7441624437042004795,秦越,2024-11-27 00:23:35,广东,只要人还是人，就永远无法破解的矛盾！,3,0
7450432994802860860,PW,2024-12-20 18:05:15,江西,仁要对百姓仁 对大臣要严厉,0,0
7441545993345286969,草莽英雄许汉文,2024-11-26 19:19:08,广西,仁政？要知道，百姓指的是是地方豪强，如果真的给黔首好处，黔首回馈的人力，那就是强大的基础,1,0
7446606034917540666,飞扬,2024-12-10 10:34:42,广东,仁政是战后让百姓安稳下来的办法。没钱没粮怎么发展人口，战后人口稀少,1,0
7442182547314426636,路人假,2024-11-28 12:29:17,陕西,仁是主观的区分，不是人性,3,0
7456574766243250982,忘丶夫子,2025-01-06 07:23:11,浙江,仁政是因为治不了，或者说治不够坏人,0,0
7455697768276919100,荀子,2025-01-03 22:35:15,福建,通路 水 电 网 物流 五通数术现代化让仁政有施行根基,0,0
7461536088851759924,ak. Michael,2025-01-19 16:42:00,陕西,燕子要做的不是打工而是自己单干,0,0
7466076795424244521,小太阳。,2025-01-31 21:51:10,河南,君主择明主而栖,0,0
7441921235582321420,只手摘星,2024-11-27 19:35:16,江苏,左右逢源是这道题的解答。左一半，右一半。,1,0
7449982960004449024,叫什么名字,2024-12-19 12:58:54,湖南,主要是看君主是否贤明且长寿,0,0
7442606661821760271,相见恨晚,2024-11-29 15:55:08,吉林,你的仁政只让少数人获利[呲牙],0,0
7443787306450092834,柠檬没我甜😜,2024-12-02 20:16:33,陕西,执行仁政的人不一定能被承认,0,0
7443572246012642108,我的生活我主宰,2024-12-02 06:22:08,江苏,这个晏子个子高了[捂脸][捂脸][捂脸],0,0
7463482574305493796,隍陈杂货铺,2025-01-24 22:43:40,上海,粉蛋糕，人性永不知足。。。蛋糕有限，人欲无限。。。。。,0,0
7441631917013631784,🍾梁梁六两🤪,2024-11-27 00:52:48,山西,论工会的重要性！,4,1
7441750108838708027,仧乆没钞疯,2024-11-27 08:31:16,山东,大仁小仁如何评论在于标准，标准在于人心，人心在于私欲,2,1
7443321097904784185,驴和凶兆,2024-12-01 14:07:26,广东,因为人心是可以左右的，仁与不仁很多时候都不是指做了多少好事，而是宣传出来的。,5,0
7441502526753162042,Jonas Li,2024-11-26 16:30:29,辽宁,有什么奇怪的，要对权利的来源负责，领着君主的俸禄，却偏袒百姓就是渎职[捂脸]不干就对了,2,0
7444734849461027595,谷之子,2024-12-05 09:33:38,吉林,本质就是缺少一个武力值和仁德值爆表的明君。而最无奈的的是明君也只有百年寿命。,2,2
7451804969374073641,闻闻都心酸,2024-12-24 10:49:13,广西,这就是辉煌的5000年,0,0
7465268763216462629,春日,2025-01-29 17:35:37,湖南,王道可以用仁，也可以用法，顺势而为，有时还无为而治。,0,0
7441755021547340604,breath,2024-11-27 08:50:19,上海,权利的来源不对,3,1
7453782757417026354,✨你是悟空啊！,2024-12-29 18:44:00,重庆,社会主导力量的改变，是改变社会治理的根本。,3,0
7444569444367500067,大牛1,2024-12-04 22:51:40,广东,中国足够大，三邪和二馋也足够多,1,0
7465294616959632154,一叶扁舟,2025-01-29 19:15:54,山东,公会公会[赞][赞][赞],0,0
7444020479294391049,纯情小浣熊,2024-12-03 11:21:25,福建,有一种说法叫消耗，不对外消耗就要对内消耗，安定的社会就要对内消耗，钱消耗底层人，权消耗中层人。,1,1
7441769934910669620,BarryWuu,2024-11-27 09:48:10,安徽,那是因为原来的来源和监督不对，你怎么做都是徒劳的,0,1
7451100514517844796,迪克西少将,2024-12-22 13:15:34,山东,晏子治东阿,0,0
7453755680055509794,风2,2024-12-29 16:58:56,陕西,大争之世，以力为先，合一国之利，而求天下。,0,0
7458822852558357302,小Q70116,2025-01-12 08:42:14,海南,短视频能打破信息壁垒，也会增加谣言。,0,0
7441597772354847529,问道先秦,2024-11-26 22:40:04,湖北,西门豹也遇到这个情况,1,0
7441742030739260171,辛美尔,2024-11-27 07:59:56,上海,青苗法？,0,0
7441514709423194937,李仲阳,2024-11-26 17:17:42,湖南,所以于东来不能做到全国,1,0
7441928440883954489,元时间,2024-11-27 20:03:11,北京,所以一切存在的都是合理的，一切都是最好的安排，是空即是色色即是空的释意，能够以自己的语言解释空即食色色即是空的人才是真正悟到了的人[爱心],0,0
7442358197640413991,一平,2024-11-28 23:50:58,福建,当代文明已经让世界上许多国家地区基本破解了这个难题。,17,3
7441548350681957178,江头潮已平,2024-11-26 19:28:16,北京,晏子二桃杀三士就看出谁是真正的小人,5,4
7443968283852505913,你猜,2024-12-03 07:58:54,河南,硬是把人类活成了动物世界,9,1
7441575642627457850,长明宗小师妹叶翘,2024-11-26 21:14:09,江西,刁民畏威不畏德！,5,0
7445490062328267531,Tilma,2024-12-07 10:24:10,上海,总结一句：上位者，多贪婪，懂哭闹，会美言，勤打压，用最大力度吸下层利益，用最大力度舔上层关系,1,0
7448439931434861351,Samuel76239569,2024-12-15 09:11:08,北京,不是小学时候学的西门豹吗？,0,0
